highest_layer,transport_layer,src_ip,dst_ip,src_port,dst_port,ip_flag,packet_length,transport_flag,time,timestamp,geo_country,data,type,code,checksum
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.536000,1623711916536,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:7401:1:101,ff02::1a,-1,-1,-1,97,-1,2021-06-14 23:05:16.536000,1623711916536,Unknown,,155,DIO,1
ICMP,NONE,fe80::212:740a:a:a0a,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:05:16.570000,1623711916570,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7403:3:303,fe80::212:7401:1:101,-1,-1,-1,76,-1,2021-06-14 23:05:16.799000,1623711916799,Unknown,,155,DAO,1
ICMP,NONE,fe80::212:7407:7:707,fe80::212:7401:1:101,-1,-1,-1,76,-1,2021-06-14 23:05:16.854000,1623711916854,Unknown,,155,DAO,1
ICMP,NONE,fe80::212:740b:b:b0b,fe80::212:7401:1:101,-1,-1,-1,76,-1,2021-06-14 23:05:16.887000,1623711916887,Unknown,,155,DAO,1
ICMP,NONE,fe80::212:740e:e:e0e,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:05:17.031000,1623711917031,Unknown,,155,DIS,1
ICMP,NONE,fe80::212:7415:15:1515,fe80::212:7401:1:101,-1,-1,-1,76,-1,2021-06-14 23:05:17.059000,1623711917059,Unknown,,155,DAO,1
ICMP,NONE,fe80::212:7408:8:808,fe80::212:7401:1:101,-1,-1,-1,76,-1,2021-06-14 23:05:17.131000,1623711917131,Unknown,,155,DAO,1
DATA,UDP,::212:7408:8:808,::1,1884,1884,-1,73,-1,2021-06-14 23:05:17.217000,1623711917217,Unknown,,-1,-1,-1
DATA,UDP,aaaa::1,aaaa::212:7408:8:808,1884,1884,-1,83,-1,2021-06-14 23:05:17.218000,1623711917218,Unknown,,-1,-1,-1
DATA,UDP,::212:7408:8:808,::1,1884,1884,-1,65,-1,2021-06-14 23:05:17.248000,1623711917248,Unknown,,-1,-1,-1
DATA,UDP,::1,::212:7408:8:808,1884,1884,-1,62,-1,2021-06-14 23:05:17.249000,1623711917249,Unknown,,-1,-1,-1
DATA,UDP,::212:7408:8:808,::1,1884,1884,-1,65,-1,2021-06-14 23:05:17.250000,1623711917250,Unknown,,-1,-1,-1
DATA,UDP,::212:740b:b:b0b,::1,1884,1884,-1,73,-1,2021-06-14 23:05:17.250000,1623711917250,Unknown,,-1,-1,-1
DATA,UDP,::212:7407:7:707,::1,1884,1884,-1,73,-1,2021-06-14 23:05:17.286000,1623711917286,Unknown,,-1,-1,-1
DATA,UDP,aaaa::1,aaaa::212:7407:7:707,1884,1884,-1,83,-1,2021-06-14 23:05:17.371000,1623711917371,Unknown,,-1,-1,-1
DATA,UDP,::212:7407:7:707,::1,1884,1884,-1,65,-1,2021-06-14 23:05:17.372000,1623711917372,Unknown,,-1,-1,-1
DATA,UDP,::1,::212:7407:7:707,1884,1884,-1,62,-1,2021-06-14 23:05:17.372000,1623711917372,Unknown,,-1,-1,-1
DATA,UDP,::212:7407:7:707,::1,1884,1884,-1,65,-1,2021-06-14 23:05:17.373000,1623711917373,Unknown,,-1,-1,-1
DATA,UDP,::1,::212:7407:7:707,1884,1884,-1,62,-1,2021-06-14 23:05:17.373000,1623711917373,Unknown,,-1,-1,-1
DATA,UDP,::212:7407:7:707,::1,1884,1884,-1,65,-1,2021-06-14 23:05:17.460000,1623711917460,Unknown,,-1,-1,-1
DATA,UDP,::212:7403:3:303,::1,1884,1884,-1,73,-1,2021-06-14 23:05:17.461000,1623711917461,Unknown,,-1,-1,-1
DATA,UDP,::212:7415:15:1515,::1,1884,1884,-1,73,-1,2021-06-14 23:05:17.462000,1623711917462,Unknown,,-1,-1,-1
DATA,UDP,aaaa::1,aaaa::212:7403:3:303,1884,1884,-1,83,-1,2021-06-14 23:05:17.501000,1623711917501,Unknown,,-1,-1,-1
DATA,UDP,::212:7403:3:303,::1,1884,1884,-1,65,-1,2021-06-14 23:05:17.552000,1623711917552,Unknown,,-1,-1,-1
DATA,UDP,::1,::212:7403:3:303,1884,1884,-1,62,-1,2021-06-14 23:05:17.553000,1623711917553,Unknown,,-1,-1,-1
DATA,UDP,::212:7403:3:303,::1,1884,1884,-1,65,-1,2021-06-14 23:05:17.554000,1623711917554,Unknown,,-1,-1,-1
DATA,UDP,::1,::212:7403:3:303,1884,1884,-1,62,-1,2021-06-14 23:05:17.598000,1623711917598,Unknown,,-1,-1,-1
DATA,UDP,::212:7403:3:303,::1,1884,1884,-1,65,-1,2021-06-14 23:05:17.598000,1623711917598,Unknown,,-1,-1,-1
ICMP,NONE,fe80::212:7412:12:1212,ff02::1a,-1,-1,-1,64,-1,2021-06-14 23:05:17.599000,1623711917599,Unknown,,155,DIS,1
DATA,UDP,::1,::212:7403:3:303,1884,1884,-1,62,-1,2021-06-14 23:05:17.641000,1623711917641,Unknown,,-1,-1,-1
DATA,UDP,::212:7403:3:303,::1,1884,1884,-1,65,-1,2021-06-14 23:05:17.642000,1623711917642,Unknown,,-1,-1,-1
DATA,UDP,::1,::212:7403:3:303,1884,1884,-1,62,-1,2021-06-14 23:05:17.642000,1623711917642,Unknown,,-1,-1,-1
DATA,UDP,::212:7403:3:303,::1,1884,1884,-1,65,-1,2021-06-14 23:05:17.643000,1623711917643,Unknown,,-1,-1,-1
DATA,UDP,::1,::212:7403:3:303,1884,1884,-1,62,-1,2021-06-14 23:05:17.678000,1623711917678,Unknown,,-1,-1,-1
DATA,UDP,::212:7403:3:303,::1,1884,1884,-1,65,-1,2021-06-14 23:05:17.679000,1623711917679,Unknown,,-1,-1,-1
DATA,UDP,::1,::212:7403:3:303,1884,1884,-1,62,-1,2021-06-14 23:05:17.762000,1623711917762,Unknown,,-1,-1,-1
